Schema,Code,StructureLabel,Description,AlphaBetaRatio
FMA (3.2),9577, Abdomen, Abdomen,0
FMA (3.2),3789, Abdominal aorta, Abdominal aorta,0
FMA (3.2),278485, Abdominal lymph node group, Abdominal lymph node group,0
FMA (3.2),277359, Abdominal lymphatic chain, Abdominal lymphatic chain,0
FMA (3.2),9397, Abdominal part of esophagus, Abdominal part of esophagus,0
FMA (3.2),71773, Abdominal proper lymph node group, Abdominal proper lymph node group,0
FMA (3.2),50867, Abducens nerve, Abducens nerve,0
FMA (3.2),37451, Abductor digiti minimi of foot, Abductor digiti minimi of foot,0
FMA (3.2),37382, Abductor digiti minimi of hand, Abductor digiti minimi of hand,0
FMA (3.2),37464, Abductor digiti minimi of left foot, Abductor digiti minimi of left foot,0
FMA (3.2),37397, Abductor digiti minimi of left hand, Abductor digiti minimi of left hand,0
FMA (3.2),37463, Abductor digiti minimi of right foot, Abductor digiti minimi of right foot,0
FMA (3.2),37396, Abductor digiti minimi of right hand, Abductor digiti minimi of right hand,0
FMA (3.2),37448, Abductor hallucis, Abductor hallucis,0
FMA (3.2),37373, Abductor pollicis brevis, Abductor pollicis brevis,0
FMA (3.2),38515, Abductor pollicis longus, Abductor pollicis longus,0
FMA (3.2),61242, Accessory cervical lymph node, Accessory cervical lymph node,0
FMA (3.2),14836, Accessory cystic artery, Accessory cystic artery,0
FMA (3.2),5011, Accessory hemiazygos vein, Accessory hemiazygos vein,0
FMA (3.2),76835, Accessory pancreas, Accessory pancreas,0
FMA (3.2),55567, Accessory parathyroid gland, Accessory parathyroid gland,0
FMA (3.2),59823, Accessory parotid gland, Accessory parotid gland,0
FMA (3.2),16028, Accessory spleen, Accessory spleen,0
FMA (3.2),55533, Accessory thyroid gland, Accessory thyroid gland,0
FMA (3.2),23300, Acromial end of clavicle, Acromial end of clavicle,0
FMA (3.2),23302, Acromial end of left clavicle, Acromial end of left clavicle,0
FMA (3.2),23301, Acromial end of right clavicle, Acromial end of right clavicle,0
FMA (3.2),25898, Acromioclavicular joint, Acromioclavicular joint,0
FMA (3.2),22442, Adductor brevis, Adductor brevis,0
FMA (3.2),37454, Adductor hallucis, Adductor hallucis,0
FMA (3.2),22441, Adductor longus, Adductor longus,0
FMA (3.2),22443, Adductor magnus, Adductor magnus,0
FMA (3.2),43885, Adductor minimus, Adductor minimus,0
FMA (3.2),37380, Adductor pollicis, Adductor pollicis,0
FMA (3.2),9604, Adrenal gland, Adrenal gland,0
FMA (3.2),15630, Adrenal Gland Left, Left adrenal gland,0
FMA (3.2),15629, Adrenal Gland Right, Right adrenal gland,0
FMA (3.2),32439, Ala of sacrum, Ala of sacrum,0
FMA (3.2),258758, Allothalamus, Allothalamus,0
FMA (3.2),18492, Ampulla of left uterine tube, Ampulla of left uterine tube,0
FMA (3.2),18491, Ampulla of right uterine tube, Ampulla of right uterine tube,0
